,genre1,genre2,diff,norm_diff
0,Action,Adventure,14.980218256,1.32286125913
1,Action,Animation,19.3907014302,1.44651180866
2,Action,Children,17.7637938291,1.40090047517
3,Action,Comedy,29.6607799317,1.73443963883
4,Action,Crime,19.2075874578,1.44137809826
5,Action,Documentary,20.1075839554,1.46661004159
6,Action,Drama,31.4476599598,1.78453589556
7,Action,Fantasy,19.7716800817,1.45719277438
9,Action,Horror,16.5692071681,1.36740951936
10,Action,IMAX,27.6548457394,1.6782020668
11,Action,Musical,17.6893822191,1.39881430091
12,Action,Mystery,19.3548707719,1.44550727459
13,Action,Romance,19.2526724383,1.44264208282
14,Action,Sci-Fi,20.058983367,1.46524749485
15,Action,Thriller,17.2851475627,1.3874813391
16,Action,War,24.4305570548,1.58780719352
17,Action,Western,21.0574728185,1.4932407474
18,Adventure,Action,14.980218256,1.32286125913
19,Adventure,Animation,21.416167127,1.50329695817
20,Adventure,Children,18.5997473365,1.42433693473
21,Adventure,Comedy,27.899283122,1.6850550159
22,Adventure,Crime,23.043348211,1.54891595891
23,Adventure,Documentary,20.5086257075,1.47785348841
24,Adventure,Drama,32.978168196,1.82744461485
25,Adventure,Fantasy,16.762330037,1.37282383519
27,Adventure,Horror,20.8930589016,1.48863130432
28,Adventure,IMAX,26.6623616098,1.65037717706
29,Adventure,Musical,17.2202195934,1.38566104441
30,Adventure,Mystery,21.2280935197,1.49802420142
31,Adventure,Romance,21.5100280894,1.50592840672
32,Adventure,Sci-Fi,18.7362482907,1.42816382112
33,Adventure,Thriller,22.5192130195,1.53422151345
34,Adventure,War,23.7007100607,1.5673454939
35,Adventure,Western,25.2826756578,1.61169685126
36,Animation,Action,19.3907014302,1.44651180866
37,Animation,Adventure,21.416167127,1.50329695817
38,Animation,Children,7.33943670271,1.10864735092
39,Animation,Comedy,32.6347735064,1.81781733811
40,Animation,Crime,23.3904329751,1.55864668911
41,Animation,Documentary,12.1136525638,1.24249536518
42,Animation,Drama,36.0766105126,1.91431130949
43,Animation,Fantasy,16.7820562692,1.37337687198
45,Animation,Horror,13.66857185,1.28608846294
46,Animation,IMAX,8.12201065096,1.13058728243
47,Animation,Musical,11.790778553,1.23344339801
48,Animation,Mystery,16.1540656455,1.35577077699
49,Animation,Romance,26.3138148871,1.64060545998
50,Animation,Sci-Fi,19.9847961115,1.46316761051
