movieid,tag,tfidfweight
3961,geeks,1.79823173163
4057,cannibalism,0.485251970111
4057,psychology,0.471805012435
4057,serial killer,0.464892036243
4057,atmospheric,0.247165874906
4057,boring,0.184336737775
4057,hannibal lecter,0.181370952572
4064,san francisco,2.84265530651
4076,nudity (topless),1.98178509726
4132,world war ii,1.28246837892
4132,best war films,0.38710425336
4132,war,0.214990530979
4132,nudity (rear),0.165533955928
4132,wwii,0.137413541437
4252,nudity (topless - notable),0.578201804684
4252,cool,0.422661904374
4252,hackers,0.335502573659
4252,hacking,0.310486485036
4252,action,0.230954748598
4252,over the top,0.208076572062
4354,computer animation,0.773111194324
4354,video game adaptation,0.500291887139
4354,sci-fi,0.450071137924
4354,anime,0.30869776696
4354,cgi,0.224064493031
4354,fish,0.184758814901
4681,family,1.39374986829
4681,based on book,1.17397567211
4869,history,1.6650034347
4999,court,1.0161848971
4999,terrorism,0.801146058222
5078,interesting,1.6818772001
5123,animation,0.582814542056
5123,animated,0.53813796461
5123,redemption,0.420257749904
5123,cartoon,0.31958884741
5123,talking animals,0.267192079799
5123,disney,0.160259184814
5171,crime,1.6974276667
5324,based on a tv show,1.20881826071
5324,drugs,0.799613145445
5915,comedy,1.60175648939
5959,violent,1.06084508806
5959,slapstick,0.469972073979
5959,gore,0.348440852534
5959,hilarious,0.266324039508
6057,buddy movie,0.900017606452
6057,not funny,0.687316667341
6057,england,0.539750147477
6058,comic book,0.721824074548
6058,superhero,0.536443338418
6058,bad acting,0.208478071129
6058,marvel,0.205392785256
6058,heroine in tight suit,0.198762237618
6058,dark,0.169362289763
6058,action,0.133148883294
6166,musicians,3.12431684195
6425,dreamworks,0.898737635064
6425,pirates,0.808453767475
6425,swashbuckler,0.53975029496
7062,motorcycle,2.67210946649
7202,boxing,0.966475972068
7202,dumb but funny,0.819799834535
7212,murder,1.1904831794
7212,not funny,0.983693662725
7232,espionage,2.7371795702
7247,zombies,1.12732481947
7247,zombie,0.338570622511
7247,remake,0.18262020384
7247,nudity (topless - brief),0.165828500664
7247,directorial debut,0.145472208139
7247,action,0.119508546834
7320,pointless,1.16563693018
7320,predictable,0.536907757958
7755,magic,0.74729509457
7755,harry potter,0.41845524319
7755,witch,0.210130901362
7755,time travel,0.203728705056
7755,fantasy,0.149650437493
7755,franchise,0.1324714213
7755,wizards,0.0799851403473
7755,sequel,0.0799555751143
