actorid,tag,tfidfweight
17838,comic book,1.96364994738
17838,superhero,1.45934026088
17838,bad acting,0.567143668157
17838,marvel,0.5587504576
17838,heroine in tight suit,0.540712718241
17838,dark,0.460733110888
17838,action,0.421667366394
61523,espionage,3.7231111489
96585,motorcycle,7.26920561157
128645,computer animation,1.05158570459
128645,video game adaptation,0.680496933044
128645,sci-fi,0.612186679182
128645,anime,0.41989064595
128645,cgi,0.304772482288
128645,fish,0.251308906111
172359,motorcycle,3.63460280579
277151,pointless,0.792749569226
277151,predictable,0.365150916905
283459,nudity (topless),1.34781186274
313166,nudity (topless),2.69562372548
316365,computer animation,0.525792852297
316365,video game adaptation,0.340248466522
316365,sci-fi,0.306093339591
316365,anime,0.209945322975
316365,cgi,0.152386241144
316365,fish,0.125654453056
386263,buddy movie,2.44840756615
386263,not funny,1.99250594079
386263,england,1.46833610303
396877,nudity (topless - notable),0.393234994294
396877,cool,0.28745232237
396877,hackers,0.22817526955
396877,hacking,0.211161829974
396877,action,0.182851853857
396877,over the top,0.14151285756
455857,motorcycle,2.42306853719
485553,family,3.79155662998
485553,based on book,3.19368298738
498094,court,0.691107255247
498094,terrorism,0.544859360661
542238,nudity (topless),1.34781186274
542238,pointless,0.792749569226
542238,predictable,0.365150916905
618247,interesting,4.57537811765
621487,comedy,1.08935444141
623809,comic book,0.490912486845
623809,superhero,0.364835065219
623809,bad acting,0.141785917039
623809,marvel,0.1396876144
623809,heroine in tight suit,0.13517817956
623809,dark,0.115183277722
623809,action,0.105416841598
630676,boxing,0.87640029319
630676,dumb but funny,0.743394389625
665574,boxing,1.31460043979
665574,dumb but funny,1.11509158444
692749,comic book,0.654549982461
692749,superhero,0.486446753626
692749,bad acting,0.189047889386
692749,marvel,0.186250152533
692749,heroine in tight suit,0.180237572747
692749,dark,0.153577703629
692749,action,0.140555788798
702631,comedy,1.45247258855
713207,world war ii,0.697765301428
713207,best war films,0.210615653743
713207,dreamworks,0.122246276623
713207,war,0.116972032308
713207,pirates,0.109965866611
713207,nudity (rear),0.0900637025861
713207,wwii,0.0747639495347
713207,swashbuckler,0.0734168252119
719241,musicians,4.24969519486
721841,buddy movie,0.612101891537
721841,not funny,0.498126485199
721841,england,0.367084025757
810424,san francisco,1.93328961304
830152,family,1.26385220999
830152,based on book,1.06456099579
861346,nudity (topless),1.79708248365
878356,magic,1.01647065045
878356,harry potter,0.569182744969
878356,witch,0.285820013457
878356,time travel,0.277111747217
878356,fantasy,0.203554497606
878356,franchise,0.180187602934
878356,wizards,0.108795773217
878356,sequel,0.108755558593
938435,world war ii,1.74441325357
